City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
talnakh,69.4865,88.3972,-7.65,98,89,7.78,RU,1701146000
hermanus,-34.4187,19.2345,65.86,87,30,7.4,ZA,1701146244
moose jaw,50.4001,-105.5344,26.85,80,100,2.3,CA,1701146244
thompson,55.7435,-97.8558,-14.64,76,40,2.3,CA,1701146245
rongelap,11.1635,166.8941,82.08,76,32,19.42,MH,1701146245
bethel,41.3712,-73.414,37.9,71,75,6.91,US,1701146246
tiksi,71.6872,128.8694,-6.93,97,62,12.08,RU,1701146246
bilibino,68.0546,166.4372,3.06,96,100,2.59,RU,1701146247
fort bragg,35.139,-79.006,43.83,68,0,5.75,US,1701146247
harstad,68.799,16.5293,26.15,77,27,6.13,NO,1701146248
igarka,67.4667,86.5833,-3.1,97,98,11.14,RU,1701146248
selizharovo,56.8519,33.4487,19.63,96,97,4.52,RU,1701146249
hilo,19.7297,-155.09,73.13,92,0,3.44,US,1701146042
port-aux-francais,-49.35,70.2167,38.91,70,84,17.38,TF,1701146250
vorozhba,51.1733,34.2192,13.12,94,59,9.42,UA,1701146251
adamstown,-25.066,-130.1015,73.44,85,100,22.17,PN,1701146251
magistral'nyy,56.1725,107.4458,5.07,78,100,7.81,RU,1701146252
puerto ayora,-0.7393,-90.3518,77.56,92,99,5.99,EC,1701146252
invercargill,-46.4,168.35,52.02,84,100,11.01,NZ,1701146253
usogorsk,63.4106,48.6872,21.67,93,100,12.5,RU,1701146253
port macquarie,-31.4333,152.9167,75.88,79,100,7.94,AU,1701146250
rancho palos verdes,33.7445,-118.387,63.61,45,40,5.99,US,1701146254
vorgashor,67.5833,63.95,-6.11,95,13,6.38,RU,1701146255
codrington,-38.2667,141.9667,66.76,71,71,21.21,AU,1701146255
borba,-4.3878,-59.5939,74.12,94,58,2.17,BR,1701146256
fort st. john,56.2499,-120.8529,37.29,65,20,18.41,CA,1701146256
el estor,15.5333,-89.35,73.42,93,6,1.81,GT,1701146257
yellowknife,62.456,-114.3525,19.42,99,100,6.91,CA,1701146004
padangsidempuan,1.3667,99.2667,84.99,65,86,3.27,ID,1701146258
longyearbyen,78.2186,15.6401,39.04,70,75,13.8,SJ,1701146259
west island,-12.1568,96.8225,84.18,65,40,11.5,CC,1701146259
qaqortoq,60.7167,-46.0333,6.15,66,2,8.84,GL,1701146260
namibe,-15.1961,12.1522,74.66,68,93,5.61,AO,1701146260
sola,-13.8833,167.55,80.22,83,100,15.88,VU,1701146261
stanley,54.868,-1.6985,34.79,96,20,5.75,GB,1701146261
port mathurin,-19.6833,63.4167,75.87,72,3,3.91,MU,1701146262
